ProductName,Category,Brand,UnitPrice
Laptop,Health & Fitness,FakeZenithStyle,744
Puzzle,Arts & Crafts,FakeVelvetVista,821
Dog Collar,Pets,FakeLuxeAura,457
Air Conditioner,Electronics,FakeEtherealEdge,600
Air Purifier,Arts & Crafts,FakeUrbanGlow,406
Hiking Boots,Outdoor & Garden,FakeVelvetVista,665
Ski Goggles,Home Appliances,FakeZenithStyle,437
Fire Pit,Home & Furniture,FakeUrbanGlow,108
Keyboard,Home Appliances,FakeZenithStyle,686
Lamp,Electronics,FakeVelvetVista,296
Robot Vacuum,Sports & Recreation,FakeEtherealEdge,799
Bicycle,Outdoor & Garden,FakeVelvetVista,963
Electric Shaver,Pets,FakeVelvetVista,156
Badminton Set,Arts & Crafts,FakeLuxeAura,207
Drone,Outdoor & Garden,FakeVelvetVista,383
Garden Tools,Arts & Crafts,FakeEtherealEdge,368
Oven,Home & Furniture,FakeVelvetVista,822
Cat Tree,Kitchen & Dining,FakeEtherealEdge,884
Outdoor Umbrella,Outdoor & Garden,FakeEtherealEdge,178
Flashlight,Toys & Games,FakeZenithStyle,114
Backpack,Health & Fitness,FakeEtherealEdge,577
Sewing Machine,Home & Furniture,FakeVelvetVista,470
Camping Chair,Sports & Recreation,FakeVelvetVista,823
Electric Toothbrush,Home Appliances,FakeEtherealEdge,922
Blender,Home & Furniture,FakeVelvetVista,751
Suitcase,Health & Fitness,FakeUrbanGlow,267
Printer,Pets,FakeLuxeAura,112
Wetsuit,Kitchen & Dining,FakeVelvetVista,366
Refrigerator,Pets,FakeUrbanGlow,915
Binoculars,Home & Furniture,FakeVelvetVista,713
Helmet,Sports & Recreation,FakeVelvetVista,475
Snorkel Gear,Home Appliances,FakeUrbanGlow,284
BBQ Grill,Toys & Games,FakeUrbanGlow,964
Patio Furniture,Toys & Games,FakeLuxeAura,267
Bicycle,Pets,FakeVelvetVista,370
Building Blocks,Pets,FakeLuxeAura,129
Patio Furniture,Arts & Crafts,FakeLuxeAura,248
Air Purifier,Sports & Recreation,FakeUrbanGlow,706
Paddleboard,Pets,FakeEtherealEdge,608
Backpacking Stove,Arts & Crafts,FakeUrbanGlow,824
Bird Feeder,Kitchen & Dining,FakeZenithStyle,975
Snorkel Gear,Home Appliances,FakeUrbanGlow,142
Fishing Rod,Health & Fitness,FakeUrbanGlow,816
Hiking Backpack,Home & Furniture,FakeLuxeAura,592
Laser Printer,Arts & Crafts,FakeVelvetVista,641
Water Filter,Arts & Crafts,FakeLuxeAura,357
Monitor,Sports & Recreation,FakeZenithStyle,709
Electric Scooter,Sports & Recreation,FakeUrbanGlow,260
Kayak,Toys & Games,FakeZenithStyle,773
Hiking Backpack,Toys & Games,FakeEtherealEdge,939
Headphones,Home Appliances,FakeUrbanGlow,603
3D Printer,Electronics,FakeVelvetVista,182
Action Figure,Health & Fitness,FakeZenithStyle,617
Dehumidifier,Health & Fitness,FakeEtherealEdge,265
Patio Furniture,Arts & Crafts,FakeLuxeAura,169
Backpacking Stove,Electronics,FakeUrbanGlow,141
Surfboard,Toys & Games,FakeEtherealEdge,189
Water Filter,Electronics,FakeLuxeAura,830
Thermos,Arts & Crafts,FakeLuxeAura,622
Wi-Fi Extender,Home Appliances,FakeUrbanGlow,350
Tent,Outdoor & Garden,FakeLuxeAura,989
Washing Machine,Sports & Recreation,FakeEtherealEdge,574
Art Supplies,Health & Fitness,FakeUrbanGlow,811
Pet Toy,Electronics,FakeEtherealEdge,514
Paddleboard,Health & Fitness,FakeEtherealEdge,494
Water Bottle,Outdoor & Garden,FakeLuxeAura,418
